,tokens,label
0,"[101, 2129, 2097, 2057, 2147, 2009, 2041, 1037, 2843, 1997, 2111, 2097, 25728, 1996, 4534, 1999, 12703, 1998, 15806, 1998, 2383, 1037, 3608, 2030, 2062, 14797, 3973, 1996, 25430, 22425, 2100, 12566, 2024, 5870, 102]",0
1,"[101, 1999, 2070, 5468, 2027, 12530, 2588, 1996, 3252, 1997, 3265, 6180, 2116, 16310, 2024, 3209, 13359, 5857, 2000, 2023, 10439, 14995, 12002, 2054, 4618, 2122, 3896, 2022, 102]",0
2,"[101, 2045, 2001, 2053, 2028, 2012, 1996, 14255, 9092, 2094, 2002, 2018, 2053, 3437, 1996, 15117, 2003, 2613, 2438, 1996, 19738, 2015, 102]",0
3,"[101, 1996, 3653, 2082, 2121, 2481, 1005, 1056, 12064, 4697, 2014, 5346, 2055, 1996, 5057, 3785, 2116, 7272, 5939, 3597, 5644, 11867, 7630, 20800, 2094, 1998, 4149, 2119, 1037, 12187, 1998, 1037, 21567, 1996, 2047, 9282, 2009, 2229, 2499, 2524, 2006, 2128, 6519, 18477, 12053, 2037, 3080, 2188, 102]",0
4,"[101, 2057, 2036, 3246, 2000, 3113, 1996, 11059, 17104, 2008, 2003, 1037, 3338, 2007, 4535, 102]",0
5,"[101, 2002, 3662, 26136, 2100, 2273, 4457, 2011, 21459, 2135, 5939, 5521, 20913, 6681, 2002, 2089, 2031, 1037, 2391, 1999, 14328, 2008, 5476, 3372, 6991, 2022, 2445, 8491, 11580, 1037, 4714, 9210, 2196, 2106, 2191, 1996, 4164, 102]",0
6,"[101, 2200, 14099, 25928, 5262, 3849, 2000, 2058, 15166, 2107, 19318, 2015, 2040, 6499, 22507, 23640, 2015, 2256, 4412, 3392, 1996, 5722, 2163, 2064, 5987, 29160, 14038, 102]",0
7,"[101, 1996, 3465, 1997, 2162, 2003, 2062, 2084, 2008, 1037, 2610, 9934, 2211, 2055, 2048, 3134, 2077, 1996, 2236, 2602, 102]",0
8,"[101, 1996, 3345, 2001, 2006, 2051, 1996, 2160, 2001, 2061, 2092, 4862, 13900, 102]",0
9,"[101, 2008, 2001, 3048, 27793, 2175, 3363, 14955, 2594, 11262, 2018, 1037, 2087, 13318, 5027, 102]",0
