,label,tokens
0,0,"[101, 1045, 2066, 1996, 2452, 1010, 2009, 3504, 3492, 102]"
1,0,"[101, 1045, 5223, 2008, 3482, 102]"
2,0,"[101, 2028, 2048, 2093, 102]"
3,0,"[101, 2023, 2003, 1037, 2460, 6251, 102]"
4,0,"[101, 1045, 2031, 1037, 2714, 14757, 102]"
5,0,"[101, 3531, 2123, 1005, 1056, 2079, 2008, 102]"
6,0,"[101, 2054, 2003, 2008, 4874, 1029, 102]"
7,0,"[101, 1037, 3608, 2003, 1037, 2828, 1997, 10336, 102]"
8,0,"[101, 1996, 2277, 2038, 1037, 2502, 2892, 102]"
9,0,"[101, 1045, 2716, 2026, 2300, 5835, 2651, 102]"
10,0,"[101, 2017, 2123, 1005, 1056, 2031, 1037, 11565, 6073, 2099, 102]"
11,0,"[101, 2339, 2052, 1045, 2215, 1996, 5474, 11867, 6657, 19099, 2099, 1029, 102]"
12,0,"[101, 2057, 2342, 2460, 2742, 11746, 102]"
13,0,"[101, 1996, 2465, 18095, 2987, 1005, 1056, 2147, 2092, 102]"
14,0,"[101, 2393, 1010, 1045, 1005, 1049, 2108, 14757, 5999, 102]"
15,0,"[101, 2008, 1005, 1055, 2025, 2026, 2452, 1997, 5572, 102]"
16,0,"[101, 2892, 2115, 2540, 1998, 3246, 2000, 3280, 102]"
17,0,"[101, 1037, 6520, 23111, 2072, 1999, 1037, 5835, 102]"
18,0,"[101, 2204, 2851, 25462, 102]"
19,0,"[101, 7592, 102]"
20,0,"[101, 2054, 1005, 1055, 2115, 2171, 1029, 102]"
21,0,"[101, 2002, 2003, 7501, 1998, 4122, 2833, 102]"
22,1,"[101, 2507, 2033, 1996, 2187, 2452, 1015, 102]"
23,1,"[101, 2064, 1045, 2031, 1996, 14757, 3531, 1015, 102]"
24,1,"[101, 3531, 3413, 2033, 1996, 4874, 1015, 102]"
25,2,"[101, 6723, 1996, 2157, 14757, 1016, 102]"
26,1,"[101, 3413, 2033, 1996, 2452, 1015, 102]"
27,1,"[101, 3531, 2192, 2033, 1996, 4874, 1015, 102]"
28,1,"[101, 2507, 2033, 1996, 2187, 4874, 3531, 1015, 102]"
29,2,"[101, 10616, 1996, 2452, 1016, 102]"
30,1,"[101, 3531, 2507, 2033, 1996, 2452, 1015, 102]"
31,1,"[101, 2507, 2033, 1996, 2157, 2452, 3531, 1015, 102]"
32,1,"[101, 3531, 3413, 2033, 1996, 2452, 1015, 102]"
33,2,"[101, 6723, 1996, 2452, 3531, 1016, 102]"
34,1,"[101, 3531, 2192, 2033, 1996, 2187, 2452, 1015, 102]"
35,1,"[101, 2192, 2033, 1996, 2452, 3531, 1015, 102]"
36,1,"[101, 2507, 2033, 1996, 14757, 1015, 102]"
37,2,"[101, 3531, 10616, 1996, 2157, 14757, 1016, 102]"
38,1,"[101, 3531, 2192, 2033, 1996, 14757, 1015, 102]"
39,1,"[101, 2192, 2033, 1996, 14757, 3531, 1015, 102]"
40,1,"[101, 3413, 2033, 1996, 2187, 14757, 1015, 102]"
41,2,"[101, 3531, 6723, 1996, 14757, 1016, 102]"
42,1,"[101, 3413, 2033, 1996, 14757, 3531, 1015, 102]"
43,1,"[101, 2064, 1045, 2031, 1996, 2157, 4874, 1015, 102]"
44,1,"[101, 3531, 2507, 2033, 1996, 4874, 1015, 102]"
45,2,"[101, 10616, 1996, 4874, 1016, 102]"
46,1,"[101, 2192, 2033, 1996, 2187, 4874, 3531, 1015, 102]"
47,1,"[101, 3413, 2033, 1996, 4874, 1015, 102]"
48,1,"[101, 3413, 2033, 1996, 4874, 3531, 1015, 102]"
49,2,"[101, 6723, 1996, 2157, 3482, 1016, 102]"
50,1,"[101, 3531, 2192, 2033, 1996, 3482, 1015, 102]"
51,1,"[101, 2064, 1045, 2031, 1996, 3482, 3531, 1015, 102]"
52,1,"[101, 2192, 2033, 1996, 2187, 10336, 1015, 102]"
53,2,"[101, 3531, 10616, 1996, 10336, 1016, 102]"
54,1,"[101, 2507, 2033, 1996, 10336, 3531, 1015, 102]"
55,1,"[101, 3413, 2033, 1996, 2157, 2892, 1015, 102]"
56,1,"[101, 3531, 2507, 2033, 1996, 2892, 1015, 102]"
57,2,"[101, 6723, 1996, 2892, 3531, 1016, 102]"
58,1,"[101, 2064, 1045, 2031, 1996, 2187, 5835, 1015, 102]"
59,1,"[101, 3531, 2192, 2033, 1996, 5835, 1015, 102]"
60,1,"[101, 3413, 2033, 1996, 5835, 3531, 1015, 102]"
61,1,"[101, 2192, 2033, 1996, 2157, 11565, 6073, 2099, 1015, 102]"
62,2,"[101, 3531, 10616, 1996, 5474, 11867, 6657, 19099, 2099, 1016, 102]"
63,1,"[101, 2507, 2033, 1996, 11565, 11867, 6657, 19099, 2099, 3531, 1015, 102]"
64,1,"[101, 3413, 2033, 1996, 2187, 5474, 6073, 2099, 1015, 102]"
65,1,"[101, 3531, 2507, 2033, 1996, 11565, 6073, 2099, 1015, 102]"
