,out,tokens
0,"[0.5706822310951484, 0.0071849762973282, 0.2516957045132977, -0.0025595419263069]","[101, 19034, 1060, 10020, 23532, 1012, 1019, 1061, 10020, 20311, 1012, 2423, 1060, 17848, 4464, 2581, 1012, 1014, 1061, 17848, 26257, 1012, 1014, 2415, 1035, 1060, 27878, 2415, 1035, 1061, 22376, 7605, 1035, 1060, 6282, 1012, 4185, 24087, 21926, 7605, 1035, 1061, 2324, 1012, 6255, 12521, 22610, 7605, 1035, 1062, 5986, 2509, 1012, 1014, 7023, 1014, 1012, 4724, 22394, 2629, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 2184, 1024, 4720, 9099, 1035, 1060, 1014, 1012, 24902, 2575, 2620, 2475, 9099, 1035, 1061, 1014, 1012, 4002, 2581, 15136, 2629, 9099, 1035, 1062, 1014, 1012, 22582, 2575, 2683, 2575, 1053, 1035, 1060, 1011, 1014, 1012, 6109, 22275, 23777, 1053, 1035, 1061, 1014, 1012, 3486, 19481, 2692, 2549, 1053, 1035, 1062, 1011, 1014, 1012, 4002, 17788, 2575, 1053, 1035, 1059, 1011, 1014, 1012, 5890, 23833, 2683, 2620, 2171, 1024, 2656, 1010, 26718, 18863, 1024, 4874, 23532, 1012, 1019, 4464, 2581, 1012, 1014, 20311, 1012, 1016, 26257, 1012, 1014, 6282, 1012, 1020, 2324, 1012, 1022, 5986, 2509, 1012, 1014, 19034, 1060, 10020, 26953, 1012, 1019, 1061, 10020, 6421, 1012, 8732, 1060, 17848, 28358, 1012, 1014, 1061, 17848, 19627, 1012, 18034, 2415, 1035, 1060, 26628, 2415, 1035, 1061, 15028, 7605, 1035, 1060, 1011, 1014, 1012, 1014, 7605, 1035, 1061, 1011, 1014, 1012, 1014, 7605, 1035, 1062, 1014, 1012, 1014, 7023, 1014, 1012, 6109, 16086, 19481, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 2385, 1024, 4002, 9099, 1035, 1060, 1014, 1012, 24559, 2692, 25746, 9099, 1035, 1061, 1014, 1012, 4002, 22025, 16703, 9099, 1035, 1062, 1014, 1012, 24921, 2575, 2581, 2581, 1053, 1035, 1060, 1011, 1014, 1012, 6365, 19317, 23833, 1053, 1035, 1061, 1014, 1012, 29562, 22022, 2509, 1053, 1035, 1062, 1011, 1014, 1012, 5890, 2581, 21926, 1053, 1035, 1059, 1011, 1014, 1012, 5890, 17134, 17788, 2171, 1024, 5139, 1010, 26718, 18863, 1024, 4874, 26953, 1012, 1019, 28358, 1012, 1014, 6421, 1012, 1015, 19627, 1012, 1018, 1011, 1014, 1012, 1014, 1011, 1014, 1012, 1014, 1014, 1012, 1014, 2529, 3413, 2033, 1996, 2157, 5474, 6073, 2099, 102]"
1,"[0.3826623569234874, -0.0445849682452379, 0.1657758455529783, -0.0166535402285424]","[101, 19034, 5835, 4464, 2581, 1012, 1014, 3429, 2620, 1012, 1014, 9800, 1012, 1015, 23593, 1012, 1023, 15407, 1012, 1017, 1011, 6070, 1012, 1018, 4749, 2575, 1012, 1014, 2529, 6723, 1996, 2452, 3531, 19034, 2452, 3998, 1012, 1019, 3486, 2509, 1012, 1014, 17832, 1012, 1022, 23593, 1012, 1016, 1020, 1012, 1019, 1011, 4583, 1012, 1023, 5139, 2549, 1012, 1014, 102]"
2,"[0.6042286446836771, -0.0365392722557941, 0.1990737111685482, -0.009029627778117]","[101, 19034, 5835, 4029, 2509, 1012, 1019, 4601, 2575, 1012, 1019, 5187, 1012, 1018, 11827, 1012, 1014, 18225, 1012, 1022, 1011, 28135, 1012, 1018, 5986, 2509, 1012, 1014, 19034, 2452, 29562, 1012, 1016, 28048, 1012, 1016, 22115, 1012, 1015, 14210, 1012, 1016, 9645, 1012, 1020, 5345, 1012, 1018, 6564, 2509, 1012, 1014, 2529, 3531, 2192, 2033, 1996, 14757, 102]"
3,"[0.6617798344960288, 0.016638793491486, 0.2235644301734284, 0.2865579578188185]","[101, 2529, 6723, 1996, 2187, 4874, 3531, 19034, 1060, 10020, 24622, 1012, 1019, 1061, 10020, 5539, 1012, 8732, 1060, 17848, 4261, 2575, 1012, 1019, 1061, 17848, 4601, 2509, 1012, 1014, 2415, 1035, 1060, 28358, 2415, 1035, 1061, 27533, 7605, 1035, 1060, 1014, 1012, 1014, 7605, 1035, 1061, 1014, 1012, 1014, 7605, 1035, 1062, 1014, 1012, 1014, 7023, 1014, 1012, 28977, 14526, 2487, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 2340, 1024, 3486, 9099, 1035, 1060, 1014, 1012, 3963, 2683, 26976, 2620, 9099, 1035, 1061, 1011, 1014, 1012, 6021, 22932, 18827, 9099, 1035, 1062, 1014, 1012, 24398, 12740, 2620, 1053, 1035, 1060, 1014, 1012, 29359, 2581, 16147, 1053, 1035, 1061, 1011, 1014, 1012, 19342, 15136, 2549, 1053, 1035, 1062, 1014, 1012, 5890, 10790, 2620, 2487, 1053, 1035, 1059, 1014, 1012, 5890, 2575, 2581, 19961, 2171, 1024, 2756, 1010, 26718, 18863, 1024, 4874, 24622, 1012, 1019, 4261, 2575, 1012, 1019, 5539, 1012, 1015, 4601, 2509, 1012, 1014, 1014, 1012, 1014, 1014, 1012, 1014, 1014, 1012, 1014, 19034, 1060, 10020, 21005, 1012, 18034, 1061, 10020, 11118, 1012, 1019, 1060, 17848, 19652, 1012, 1014, 1061, 17848, 4261, 2487, 1012, 2423, 2415, 1035, 1060, 21777, 2415, 1035, 1061, 22343, 7605, 1035, 1060, 1011, 5388, 1012, 6191, 21057, 2581, 2509, 7605, 1035, 1061, 1018, 1012, 5890, 24434, 2692, 2575, 7605, 1035, 1062, 6079, 2683, 1012, 1014, 7023, 1014, 1012, 6070, 22407, 12521, 2465, 4464, 2171, 5835, 3058, 2539, 1011, 5641, 1011, 16798, 2475, 2051, 2603, 1024, 2403, 1024, 4090, 9099, 1035, 1060, 1014, 1012, 5764, 16576, 2620, 9099, 1035, 1061, 1014, 1012, 5890, 28756, 23499, 9099, 1035, 1062, 1014, 1012, 20802, 26976, 2549, 1053, 1035, 1060, 1011, 1014, 1012, 5764, 27814, 22022, 1053, 1035, 1061, 1011, 1014, 1012, 25578, 28311, 2581, 1053, 1035, 1062, 1014, 1012, 24921, 24087, 2620, 1053, 1035, 1059, 1011, 1014, 1012, 23609, 22610, 2575, 2171, 1024, 6390, 1010, 26718, 18863, 1024, 4874, 21005, 1012, 1018, 19652, 1012, 1014, 11118, 1012, 1019, 4261, 2487, 1012, 1016, 1011, 5388, 1012, 1020, 1018, 1012, 1014, 6079, 2683, 1012, 1014, 102]"
4,"[-1.0, -1.0, -1.0, -1.0]","[101, 2529, 3531, 2202, 1996, 2452, 19034, 1060, 10020, 25797, 1012, 1014, 1061, 10020, 2324, 1012, 4293, 1060, 17848, 3486, 2509, 1012, 1019, 1061, 17848, 19015, 1012, 8732, 2415, 1035, 1060, 23768, 2415, 1035, 1061, 6036, 7605, 1035, 1060, 1015, 1012, 3486, 19481, 24594, 7605, 1035, 1061, 1011, 24231, 1012, 6564, 8889, 2581, 2575, 7605, 1035, 1062, 6070, 2629, 1012, 1014, 7023, 1014, 1012, 5345, 16086, 24087, 2465, 4464, 2171, 5835, 3058, 2539, 1011, 5641, 1011, 16798, 2475, 2051, 2603, 1024, 2321, 1024, 5840, 9099, 1035, 1060, 1014, 1012, 4029, 2683, 16576, 2620, 9099, 1035, 1061, 1014, 1012, 10114, 16576, 2581, 9099, 1035, 1062, 1014, 1012, 22777, 24087, 2509, 1053, 1035, 1060, 1011, 1014, 1012, 5764, 2575, 22407, 1053, 1035, 1061, 1011, 1014, 1012, 22376, 2683, 27531, 1053, 1035, 1062, 1014, 1012, 27502, 28154, 2629, 1053, 1035, 1059, 1011, 1014, 1012, 6191, 23352, 2581, 2683, 2171, 1024, 6421, 1010, 26718, 18863, 1024, 4874, 25797, 1012, 1014, 3486, 2509, 1012, 1019, 2324, 1012, 1022, 19015, 1012, 1015, 1015, 1012, 1018, 1011, 24231, 1012, 1023, 6070, 2629, 1012, 1014, 19034, 5835, 20802, 1012, 1022, 26257, 1012, 1022, 17613, 1012, 1022, 18034, 1012, 1022, 1011, 6070, 1012, 1023, 6255, 1012, 1016, 3515, 2475, 1012, 1014, 102]"
5,"[0.5144722043334683, 0.0225995379303921, 0.196302883943769, -0.0151742429620837]","[101, 19034, 1060, 10020, 28489, 1012, 4293, 1061, 10020, 20003, 1012, 1014, 1060, 17848, 4261, 2683, 1012, 2423, 1061, 17848, 26267, 1012, 1019, 2415, 1035, 1060, 3486, 2620, 2415, 1035, 1061, 11212, 7605, 1035, 1060, 6109, 1012, 5775, 21619, 7605, 1035, 1061, 1017, 1012, 5385, 2683, 20842, 7605, 1035, 1062, 5989, 2683, 1012, 1014, 7023, 1014, 1012, 25392, 18827, 2475, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 5641, 1024, 3429, 9099, 1035, 1060, 1014, 1012, 4868, 22932, 2581, 2475, 9099, 1035, 1061, 1014, 1012, 6185, 23833, 9099, 1035, 1062, 1014, 1012, 3699, 2692, 2509, 1053, 1035, 1060, 1011, 1014, 1012, 6227, 21619, 16576, 1053, 1035, 1061, 1014, 1012, 4229, 22907, 2581, 2549, 1053, 1035, 1062, 1011, 1014, 1012, 5890, 22203, 2581, 2549, 1053, 1035, 1059, 1011, 1014, 1012, 5890, 21619, 25746, 2171, 1024, 2459, 1010, 26718, 18863, 1024, 4874, 28489, 1012, 1022, 4261, 2683, 1012, 1016, 20003, 1012, 1014, 26267, 1012, 1019, 6109, 1012, 1016, 1017, 1012, 1022, 5989, 2683, 1012, 1014, 19034, 1060, 10020, 27240, 1012, 1019, 1061, 10020, 12457, 1012, 27658, 1060, 17848, 4261, 2487, 1012, 1019, 1061, 17848, 22030, 1012, 8732, 2415, 1035, 1060, 24426, 2415, 1035, 1061, 18561, 7605, 1035, 1060, 2538, 1012, 22955, 22407, 2509, 7605, 1035, 1061, 1011, 5989, 1012, 6486, 2683, 23632, 2475, 7605, 1035, 1062, 3438, 2475, 1012, 1014, 7023, 1014, 1012, 6146, 28756, 2692, 2475, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 2184, 1024, 4700, 9099, 1035, 1060, 1014, 1012, 28048, 17788, 2581, 9099, 1035, 1061, 1014, 1012, 5890, 16703, 2575, 2475, 9099, 1035, 1062, 1014, 1012, 22898, 19317, 2575, 1053, 1035, 1060, 1011, 1014, 1012, 6365, 21486, 2692, 2575, 1053, 1035, 1061, 1014, 1012, 27533, 2683, 26187, 1053, 1035, 1062, 1011, 1014, 1012, 4002, 2620, 2581, 2575, 1053, 1035, 1059, 1011, 1014, 1012, 5890, 26187, 23777, 2171, 1024, 2423, 1010, 26718, 18863, 1024, 4874, 27240, 1012, 1019, 4261, 2487, 1012, 1019, 12457, 1012, 1023, 22030, 1012, 1015, 2538, 1012, 1017, 1011, 5989, 1012, 1023, 3438, 2475, 1012, 1014, 2529, 2064, 1045, 2031, 1996, 2157, 5835, 102]"
6,"[0.3458027362085977, 0.0108917150579877, 0.3129106861005926, 0.0208482745567367]","[101, 19034, 1060, 10020, 28135, 1012, 1014, 1061, 10020, 3438, 1012, 6273, 23352, 1060, 17848, 4029, 2475, 1012, 1014, 1061, 17848, 18744, 1012, 2423, 2415, 1035, 1060, 25256, 2415, 1035, 1061, 14506, 7605, 1035, 1060, 2340, 1012, 25578, 2575, 2683, 2683, 7605, 1035, 1061, 1011, 8380, 1012, 6079, 2581, 26187, 2475, 7605, 1035, 1062, 3515, 2620, 1012, 1014, 7023, 1014, 1012, 4293, 24594, 2509, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 2403, 1024, 2260, 9099, 1035, 1060, 1014, 1012, 23785, 17914, 2509, 9099, 1035, 1061, 1014, 1012, 5890, 2692, 2620, 2683, 2475, 9099, 1035, 1062, 1014, 1012, 21036, 2683, 14526, 1053, 1035, 1060, 1011, 1014, 1012, 6365, 17788, 21926, 1053, 1035, 1061, 1014, 1012, 29327, 21486, 2581, 1053, 1035, 1062, 1014, 1012, 6185, 2692, 2620, 18139, 1053, 1035, 1059, 1011, 1014, 1012, 6185, 2581, 2683, 27009, 2171, 1024, 4601, 1010, 26718, 18863, 1024, 4874, 28135, 1012, 1014, 4029, 2475, 1012, 1014, 3438, 1012, 1021, 18744, 1012, 1016, 2340, 1012, 1017, 1011, 8380, 1012, 1020, 3515, 2620, 1012, 1014, 2529, 3413, 2033, 1996, 2157, 5474, 6073, 2099, 19034, 1060, 10020, 16345, 1012, 22810, 1061, 10020, 13741, 1012, 1019, 1060, 17848, 25745, 1012, 1014, 1061, 17848, 25504, 1012, 4293, 2415, 1035, 1060, 11212, 2415, 1035, 1061, 19936, 7605, 1035, 1060, 1011, 18610, 1012, 4700, 2683, 2683, 2575, 7605, 1035, 1061, 1011, 2753, 1012, 10630, 2620, 22407, 7605, 1035, 1062, 6275, 2575, 1012, 1014, 7023, 1014, 1012, 6584, 2620, 21057, 2575, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 2184, 1024, 2459, 9099, 1035, 1060, 1014, 1012, 4749, 2581, 14526, 2475, 9099, 1035, 1061, 1011, 1014, 1012, 11899, 16703, 2629, 9099, 1035, 1062, 1014, 1012, 22234, 16068, 2549, 1053, 1035, 1060, 1011, 1014, 1012, 6227, 2692, 2620, 21472, 1053, 1035, 1061, 1014, 1012, 4229, 2683, 22907, 1053, 1035, 1062, 1011, 1014, 1012, 5890, 26976, 2581, 2475, 1053, 1035, 1059, 1011, 1014, 1012, 5890, 2575, 22907, 2509, 2171, 1024, 2538, 1010, 26718, 18863, 1024, 4874, 16345, 1012, 1020, 25745, 1012, 1014, 13741, 1012, 1019, 25504, 1012, 1022, 1011, 18610, 1012, 1019, 1011, 2753, 1012, 1015, 6275, 2575, 1012, 1014, 102]"
7,"[0.2882282428697875, -0.1678587588393835, 0.1935395655390734, 0.0031110920877153]","[101, 2529, 3531, 6723, 1996, 2187, 2452, 19034, 1060, 10020, 25246, 1012, 1019, 1061, 10020, 1014, 1012, 22810, 1060, 17848, 29562, 1012, 1014, 1061, 17848, 8732, 1012, 7466, 2415, 1035, 1060, 27240, 2415, 1035, 1061, 5786, 7605, 1035, 1060, 1011, 5187, 1012, 6275, 22025, 2581, 2487, 7605, 1035, 1061, 1011, 23988, 1012, 4466, 22610, 2575, 2620, 7605, 1035, 1062, 6070, 2509, 1012, 1014, 7023, 1014, 1012, 24841, 2692, 20842, 2465, 4601, 2171, 2452, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 5757, 1024, 4008, 9099, 1035, 1060, 1014, 1012, 24841, 19317, 2620, 9099, 1035, 1061, 1011, 1014, 1012, 16785, 27531, 2683, 9099, 1035, 1062, 1014, 1012, 4437, 2549, 1053, 1035, 1060, 1011, 1014, 1012, 6109, 21472, 16932, 1053, 1035, 1061, 1014, 1012, 27878, 25746, 2549, 1053, 1035, 1062, 1014, 1012, 4002, 21486, 14526, 1053, 1035, 1059, 1011, 1014, 1012, 6185, 2620, 22407, 2171, 1024, 1016, 1010, 26718, 18863, 1024, 4874, 25246, 1012, 1019, 29562, 1012, 1014, 1014, 1012, 1020, 8732, 1012, 1016, 1011, 5187, 1012, 1022, 1011, 23988, 1012, 1019, 6070, 2509, 1012, 1014, 19034, 1060, 10020, 4008, 2549, 1012, 2423, 1061, 10020, 21005, 1012, 27658, 1060, 17848, 4720, 2475, 1012, 1019, 1061, 17848, 28489, 1012, 1014, 2415, 1035, 1060, 4466, 2509, 2415, 1035, 1061, 27173, 7605, 1035, 1060, 6109, 2575, 1012, 19015, 23352, 2629, 7605, 1035, 1061, 23859, 1012, 15170, 21057, 2620, 7605, 1035, 1062, 19015, 2581, 1012, 1014, 7023, 1014, 1012, 25256, 12521, 2629, 2465, 4601, 2171, 2452, 3058, 2539, 1011, 5641, 1011, 16798, 2475, 2051, 2570, 1024, 5354, 1024, 4700, 9099, 1035, 1060, 1014, 1012, 6191, 21619, 28154, 9099, 1035, 1061, 1014, 1012, 22096, 14526, 9099, 1035, 1062, 1014, 1012, 3069, 2620, 2475, 1053, 1035, 1060, 1011, 1014, 1012, 6227, 2683, 25746, 2509, 1053, 1035, 1061, 1014, 1012, 4029, 23352, 2683, 2683, 1053, 1035, 1062, 1011, 1014, 1012, 25604, 23352, 2509, 1053, 1035, 1059, 1011, 1014, 1012, 6185, 2683, 17788, 2171, 1024, 5388, 1010, 26718, 18863, 1024, 4874, 4008, 2549, 1012, 1016, 4720, 2475, 1012, 1019, 21005, 1012, 1023, 28489, 1012, 1014, 6109, 2575, 1012, 1016, 23859, 1012, 1015, 19015, 2581, 1012, 1014, 102]"
8,"[0.3826623569234874, -0.0445849682452379, 0.1657758455529783, -0.0166535402285424]","[101, 19034, 5835, 28489, 1012, 1022, 4261, 2683, 1012, 1016, 20003, 1012, 1014, 26267, 1012, 1019, 6109, 1012, 1016, 1017, 1012, 1022, 5989, 2683, 1012, 1014, 19034, 2452, 3998, 1012, 1019, 3486, 2509, 1012, 1014, 17832, 1012, 1022, 23593, 1012, 1016, 1020, 1012, 1019, 1011, 4583, 1012, 1023, 5139, 2549, 1012, 1014, 2529, 3531, 2202, 1996, 2452, 102]"
9,"[0.3763095796250553, -0.0086107532712635, 0.0725956932178542, 0.289136362693252]","[101, 2529, 3531, 10616, 1996, 5835, 19034, 5835, 16345, 1012, 1016, 25717, 1012, 1019, 2531, 1012, 1019, 22238, 1012, 1019, 1011, 1014, 1012, 1014, 1011, 1014, 1012, 1014, 1014, 1012, 1014, 19034, 2452, 27003, 1012, 1019, 4261, 2620, 1012, 1014, 19975, 1012, 1020, 17528, 1012, 1016, 6273, 1012, 1022, 1011, 1020, 1012, 1019, 5585, 2549, 1012, 1014, 102]"
